Review,Liked
"Wow... Loved this place.",1
"Crust is not good.",0
"Not tasty and the texture was just nasty.",0
"Stopped by during the late may bank holiday off rick steve recommendation and loved it.",1
"The selection on the menu was great and so were the prices.",1
"Now I am getting angry and I want my damn caviar.",0
"Honeslty it didn't taste that fresh.",0
"The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.",0
"The fries were great too.",1
"A great touch.",1
"Service was very prompt.",1
"Would not go back.",0
"The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.",0
"I tried the Cape Cod ravoli, chicken,with cranberry... mmmm!",1
"I was disgusted because I was pretty sure that was a human hair.",0
"I was shocked because no signs indicate cash only.",0
"Highly recommended.",1
"The food, amazing.",1
"Service is also cute.",1
"I could care less... The interior is just beautiful.",1
"So they perform.",1
"That's right....the red velvet cake.....ohhh this stuff is so good.",1
"- They never brought a salad we asked for.",0
"This hole in the wall has great mexican street tacos, and friendly staff.",1
"Took an hour to get our food only 4 tables in restaurant my food was luke warm, Our sever was running around like he was totally overwhelmed.",0
"The worst was the salmon sashimi.",0
"Also there are combos like a hamburger, fries, and drink for 5.50 which is a very good deal.",1
"This was like the final blow!",0
"I found this place by accident and I could not be happier.",1
"seems like a good quick place to grab a bite of familiar pub food, but do yourself a favor and look elsewhere.",0
"Overall, I like this place a lot.",1
"The only redeeming quality of the restaurant was that it was very clean.",1
"What a great find!",1
"Ample portions and good prices.",1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
"Your staff is total garbage.",0
"The first time I ever had a sub from here it was excellent and fresh.",1
"The burger is good beef, cooked just right.",1
"If you want healthy authentic food, look elsewhere.",0
"My mouth is still watering from my thoughts of the last meal I had here.",1
"I hate the food here.",0
"The service was terrible and slow.",0
"This product quality is bad and disappointing.",0
